null|Defence Laboratories School|Kanchanbagh Po Hyderabad Andhra Pradesh|N/A|AP|500258|null|Mrs. Girija Vardarajan|040 24340493|Principal|dlsk_hyd@hotmail.com|Asia/Kolkata|IN
null|Delhi Public School|Nh-5, Nidamanuru|N/A|AP|521104|null|P.K.Sankaralingam|08666593333|Principal|dpsvijayawada@yahoo.com|Asia/Kolkata|IN
null|Delhi Public School|74, Khajaguda Village Golkonda Post Hyderabad Ap|N/A|AP|500008|null|Rekha Aggarwala|040 23548587|Principal|mmpsedkm@gmail.com|Asia/Kolkata|IN
null|Delhi Public School|Vsp Sector Viii Ukkunagaram Sector-Viii Ukkunagaram Andhra Pradesh|N/A|AP|530032|null|Mrs.B.Aruna Kumari|0891 510686886880|Principal|b.aruna.dps@gmail.com|Asia/Kolkata|IN
null|Delhi Public School|Plot No- 44,42A, Behind Nacharam Dtelephonic Exchange, Malkajgiri Mandal, Ranga Reddy Distt.|N/A|AP|500076|null|Annapurana Sarma|040 27737295|Principal|shsdtol@hotmail.com|Asia/Kolkata|IN
null|Dr K L Prasad Public School|J K C College Campus Ring Road Guntur Andhra Pradesh|N/A|AP|522006|null|S Bhanumathi|0863 350392|Principal|bvreddyschool@yahoo.co.in|Asia/Kolkata|IN
null|Dr K.K.R'S Gowtham Concept School,Iit Foundation School|Opp.Manisha Gardens,Moulali-Ecil X Roads|N/A|AP|500040|null|A.Ratna Reddy|06152 04032567788 04032568899|Principal|kkr_gis@yahoo.co.in|Asia/Kolkata|IN
null|Dr.K.K.R'S Gowtham International School,Iit Foundation School|Opp.Incap Capacitors,Nh-5,Gudavalli,Vijayawada(Rural),Pin-521104|N/A|AP|521104|null|Pusarla Madhu|01636 08666454884 08662084233|Principal|kkr_gis@yahoo.co.in|Asia/Kolkata|IN
null|English Union School|2-10-853/1 Jyothinagar Behind Court Karimnagar Dist. Andhra Pradesh|N/A|AP|505001|null|Mr. Baldwin Faife|0878 2243039|Principal|englishunionschool@yahoo.co.in|Asia/Kolkata|IN
null|Euro School|1-98/B/85/1, Vittalrao Nagar, Madhapur|N/A|AP|500033|null|Namrata Kaur|040-65888855|Principal|euroschool@sify.com|Asia/Kolkata|IN
null|Genesis E M School|Alamuru, Penumantra Mandal|N/A|AP|534126|null|A.Lizamma Thomas|08819271347 08819271736|Principal|genesis_wisdom@yahoo.co.in|Asia/Kolkata|IN
null|Glendale Academy|Bandlaguda Jagir Rajendra Ngr Mandal R R Distt Andhra Pradesh|N/A|AP|524412|null|Asma Subhana|040 24014693|Principal|skthreddy@gmail.com|Asia/Kolkata|IN
null|Global Indian International School|Survey No.8 & 9, Peerjadiguda Village Ghatkesar Mandal|N/A|AP|500039|null|Mr. Atanu Rath|040-20052199 918790333365|Principal|principal@arcaprojects.com,|Asia/Kolkata|IN
null|Global Indian International School|Sy No 468 & 471 Kondakal Village,Sankarpally Mandal,R.R Dist,A.P|N/A|AP|501203|null|Mr.Mathew Zacharias|08455322778 04023040770|Principal|venkat@prachinfoundation.com|Asia/Kolkata|IN
null|Gmr Chinmaya Vidyalaya|Gmr Chinmaya Vidyalaya Shamshabad Pin - 501218|N/A|AP|501218|null|Y. Sailaja|09247087621|Principal|pgeervani@gmail.com|Asia/Kolkata|IN
null|Gnanabharati English Medium School|Dabhuri Street Ichapuram Srikakulam Ichapuram Andhra Pradesh|N/A|AP|532312|null|Mr. Indu Bhusan Panda|08947 232130|Principal|joharkhan80@yahoo.co.in|Asia/Kolkata|IN
null|Gowtham Concept School|Bye Pass Road Santhi Nagar Gudiwada Krishna Distt Andhra Pradesh|N/A|AP|521301|null|Mrs.Shashi Srinivas|0891 517266516757|Principal|emmanuelsugynanam_2007@yahoo.co.in|Asia/Kolkata|IN
null|Greenwood High School|#10-69/1,Near Kits,Erragattugutta|N/A|AP|506015|null|S.Y.Jaggappa Dora|08702564267|Principal|gbngreenwood@gmail.com|Asia/Kolkata|IN
null|Gurukula Vidyapeeth High School|Gurukula Vidyapeeth High School,Ibrahimapatan,Ranga Reddy District|N/A|AP|501506|null|D.Srinivasa Rao|08414-222089|Principal|gvpdsrao@yahoo.co.in|Asia/Kolkata|IN
null|Hal High School|Hal High School Hal Po Balanagar,Hyderabad-042|N/A|AP|500042|null|Lata Panickar|040-23878582|Principal|halhighschool.school@gmail.com|Asia/Kolkata|IN
null|Harvest Public School|5-7-200/11, Near Mamata Hospital, Pakabanda Bazar, Khammam, A.P 507001|N/A|AP|507001|null|R.Parvathi Reddy|0485 08742-652095|Principal|harvest_khammam@yahoo.co.in|Asia/Kolkata|IN
null|Hindu Public School|Sanath Nagar Hyderabad Andhra Pradesh|N/A|AP|500018|null|Mr. Ms.Alaknanda Dubey|040 23704355|Principal|hindu_pschool88@yahoo.com|Asia/Kolkata|IN
null|Howard Public School|3-6-568 Himayat Nagar Himayat Nagar Hyderabad Andhra Pradesh|N/A|AP|500029|null|Mr. Dr. T S Sashikala|040 76306107634156|Principal|sashikala_ts@rediffmail.com|Asia/Kolkata|IN
null|Ideal High School|Lingareddyguda M.P. Farooq Nagar Mehaboob Nagar Distt. Andhra Pradesh|N/A|AP|509216|null|Mohammad Sajjad Hussain|08548 251044|Principal|kcpsarpschool@rediffmail.com|Asia/Kolkata|IN
null|Indus World School|Near Tulsi Gardens, Yapral Village, J.J. Nagar Post|N/A|AP|500087|null|Aparna Shankar|0121 040-27111801|Principal|info@iwshyd.com|Asia/Kolkata|IN
null|Ivy League Academy|Bommadale Bommarasipet Village Via Hakimpet R.R.Dist Andhra Pradesh|N/A|AP|500014|null|Mr. Deep Khare|08418 236202|Principal|ivyacd@hotmail.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Pandavula Metta Peddapuram Peddapuram East Godavari Distt. Andhra Pradesh|N/A|AP|533437|null|N S Reddi|08852 41354|Principal|imsaap@hd1.vsnl.net.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Kommadi Visakhapatnam Andhra Pradesh|N/A|AP|530041|null|Mr. C.Prabhakara Reddy|0891 2739245|Principal|jnvvisakhapatnam@yahoo.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Krishnapuram Vill & Po Marripadu Mandal Nellore Distt. Andhra Pradesh|N/A|AP|524230|null|Mr. V Narayana Rao|08620 228722|Principal|jnvnellore@gmail.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|N S C Area Ongole Prakasam Distt. Andhra Pradesh|N/A|AP|523001|null|D Kalyani Sundar|08592 33095|Principal|bavishya@vsnl.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Chalakurthy Camp Nalgonda Distt Andhra Pradesh|N/A|AP|508202|null|K Sagarika|08680 75430|Principal|kvchc@bom2.vsnl.net.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Mettakur Yanam - 533 464 Ut Of Pondicherry|N/A|AP|533464|null|B. Sudhakara Reddy|0884 2321375|Principal|imsaap@hdl.vsnl.net.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Pamalaparthy (Post) Wargal Medak Dist. Andhra Pradesh|N/A|AP|502279|null|Mr. R Rama Rao|08454 253055|Principal|jnvmedak@rediffmail.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Vattem Distt Dist Mahabubnagar Andhra Pradesh|N/A|AP|509203|null|K Damodar Reddy|08540 28710|Principal|mbncoll@ap.nic.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Hcu Campus Gachibowli Hyderabad R.R.Dist Andhra Pradesh|N/A|AP|500046|null|H Ravichandran|040 3010338|Principal|saitours@satyam.net.in|Asia/Kolkata|IN
null|Johnson Grammar School|Nacharam, Rangareddy Dist, Andra Pradesh.|N/A|AP|500014|null|Vasanthi Vishwanathan|08924 04027150122|Principal|lok_lib@indiatimes.com|Asia/Kolkata|IN
null|Jubilee Hills Public School|Block - Iii Road No. 71 Jubilee Hills Hyderabad Andhra Pradesh|N/A|AP|500033|null|Mrs. M. Varalakshmi|040 35485843607797|Principal|info@jhpublicschool.com|Asia/Kolkata|IN
null|Jyothishmati Academy|9/3 Km Hyderabad Road Nustulapur Village Karim Nagar Dist. Andhra Pradesh|N/A|AP|505481|null|Mr. Francina|0878-22 8324943504|Principal|-|Asia/Kolkata|IN
null|K C P Siddhartha Adarsh Res. Pub. Sc|Kanuru Vijayawada Andhra Pradesh|N/A|AP|520007|null|G V V A S Murthy|0866 543436|Principal|kcpsarpschool@rediffmail.com|Asia/Kolkata|IN
null|Kakatiya Public School|B C Road Visakhapatnam Andhra Pradesh|N/A|AP|530026|null|Mrs.Usha Rani Panda|0891 2517266|Principal|kakatiyapublicschool@gmail.com|Asia/Kolkata|IN
null|Kakinada Public School|Sarvodaya Nagar Valasapakala Kakinada East Godavari Distt. Andhra Pradesh|N/A|AP|533005|null|Mr. Dr D Vijayalakshmi|0884 2350813|Principal|dameravijisos@gmail.com|Asia/Kolkata|IN
null|Kencrest International School|Jyothinagar, Shiva Theatre Road, Karimnagar.|N/A|AP|500101|null|Joy Chakroborty|08782230767 08782235435|Principal|kencrestschool@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Nallapadu Guntur Andhra Pradesh|N/A|AP|522005|null|Gowri Venkataraman|0863 596124|Principal|principalkvg@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Market Yard Gooty Anantpur Distt Andhra Pradesh|N/A|AP|515401|null|Dr. Murali Meghada|08552 42605|Principal|principal@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Mahabubnagar, Red Cross Building, Yenugonda, Mahabubnagar, Andhra Pradesh|N/A|AP|509002|null|N.S.S. Prasad|08542 270270|Principal|kvsklm2000@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Kanchan Bagh Hyderabad Andhra Pradesh|N/A|AP|500058|null|Mr. S.Subba Reddy|040 24340232|Principal|kvkbagh@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Malkapuram Gandhigram Po Nausenabagh Visakhapatnam Andhra Pradesh|N/A|AP|530005|null|R V S S Subrahmanyam|0891 577136|Principal|pkvno2i@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Waltair Thatichetlapalem Visakhapatnam Andhra Pradesh|N/A|AP|530016|null|S S N Raju|0891 746539|Principal|kvwaltair@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Bolarum Allenby Lines J J Nagar (P.O) Secunderabad Andhra Pradesh|N/A|AP|500087|null|Mr. Smt. V. Rajeswari|040 27862525|Principal|kvbolarum087@gmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Picket Secunderabad Andhra Pradesh|N/A|AP|500009|null|P Annapurna|040 7844964|Principal|kvpicket@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|P.O. Trimulgherry Secunderabad Andhra Pradesh|N/A|AP|500015|null|K V Rao|040 7794121|Principal|principalkvt@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Afs Hakimpet Secunderabad Andhra Pradesh|N/A|AP|500014|null|K Sarada|null|Principal|principal509@vsnl.net|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Ntpc Jyothi Nagar Ramagundam Karimnagar Distt. Andhra Pradesh|N/A|AP|505215|null|S H Sarath|08728 62119|Principal|kvwaltair@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|A.F.S. Begumpet Hyderabad Andhra Pradesh|N/A|AP|500011|null|Mrs Prabha M Mulay|040 7751560|Principal|kenvidya@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Visakhapatnam Steel Plant Visakhapatnam Andhra Pradesh|N/A|AP|530032|null|Shri P.R.Rao|0891 518557|Principal|kvwaltair@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Ordnance Factory Eddumailaram Dist. Medak Andhra Pradesh|N/A|AP|502205|null|Smt. D Sudhamani|040 3241021|Principal|principal508@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Prabhat Nagar Guntakal Anantapur Dist Andhra Pradesh|N/A|AP|515801|null|Shri Gangadharaiah|08552 26747|Principal|principal507gt1@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Bowenpally Secunderbad Andhra Pradesh|N/A|AP|500011|null|Smt Prabha Mulay|040 7754911|Principal|kvbowenpally@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Ins Kalinga Chepala Uppada Post Bheemunipatnam (Via) Visakhapatnam D Andhra Pradesh|N/A|AP|531163|null|R Radha Krishnan|0891 899465|Principal|smrao@md3.vsnl.net.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|O.N.G.C Base Complex Lalacheruvu Rajahmundry Andhra Pradesh|N/A|AP|533106|null|Mr. Liziamma Daniel|0883 2447591|Principal|kvongcrjy@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Srikakulam Peddapadu, Srikakulam Distt.Andhra Pradesh|N/A|AP|532401|null|Mr. K.Lakshmipathi|08942 240111|Principal|kvsklm2000@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Nfc Nagar Colony Ghatkesar R R Distt Andhra Pradesh|N/A|AP|501301|null|V Ramayya|08415 22011|Principal|kv-no3patiala@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Sku Campus S V Puram Anantapur Andhra Pradesh|N/A|AP|515003|null|Smt A R Laxmi|08554 055288|Principal|prikvatp@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Naval Armament Depot Visakhapatnam Andhra Pradesh|N/A|AP|530009|null|Pramila Halgeri|0891 558267|Principal|kvnadvsp9@yahoo.co.uk|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Gachibowli Hyderabad Andhra Pradesh|N/A|AP|500133|null|Glf.Alfred|040 3000261|Principal|saitours@satyam.net.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Nandyal Road B Camp Post Kurnool Andhra Pradesh|N/A|AP|518002|null|G B Naidu|08518 76667|Principal|kvkurnool2003@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.1|Langer House Golconda Hyderabad Andhra Pradesh|N/A|AP|500008|null|Mrs. Mrs P V V Prasanna|040 23513701|Principal|kvg1@gmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.2|Nanal Nagar X Roads Golconda Hyderabad Andhra Pradesh|N/A|AP|500008|null|M Vasudev|040 3513301|Principal|prinkv2@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No 2|Carriage Repair Shop Settipalli Tirupathi Andhra Pradesh|N/A|AP|517506|null|N Venkiah|08574 75490|Principal|kv2crs@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.1|Satyanarayanapuram Vijayawada Andhra Pradesh|N/A|AP|520011|null|Jsv Lakshmi|0866 534995|Principal|kv1_vja@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.1|Sri Vijay Nagar 104 Area Industrial Estate Visakhapatnam Andhra Pradesh|N/A|AP|530007|null|Dr.K Usharani|0891 558357|Principal|kv1svn@sancharnet.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.1|Air Force Academy Dundigal Hyderabad Hyderabad Andhra Pradesh|N/A|AP|500043|null|Smt. Sandhya Rastogi|040 3307433|Principal|kv1afa@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.1|Uppal Hyderabad|N/A|AP|500039|null|Mr. G.Rama Rao|040 27200314|Principal|kv1uppal@hotmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.1|Nausenabaugh P.O.Gandhigram Visakhapatnam Andhra Pradesh|N/A|AP|530005|null|M V R K Sastry|0891 577549|Principal|kv1nsb@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.2|Survey Of India Uppal Hyderabad Andhra Pradesh|N/A|AP|500039|null|Dr A Lakshmi Kumari|040 7202031|Principal|kv2uppal80@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.2|Railway Wagon Workshop Colony Guntupalli Vijayawada Andhra Pradesh|N/A|AP|521241|null|N S R Sarma|0866 882395|Principal|viwkvwwsc@sanchernet.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.2|Air Force Academy Dundigal,Hyderabad Andhra Pradesh|N/A|AP|500043|null|Mr. Md.Masood Ali|08418 254229|Principal|principalkv2afa@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.2|Nausenabagh Gandhigram (Po) Visakhapatnam Andhra Pradesh|N/A|AP|530005|null|M V R K Sastry|0891 577614|Principal|kv2principal@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.2|104 Area Sri Vijaya Nagar Industrial Estate Vishakapatnam Andhra Pradesh|N/A|AP|530007|null|B A Rangasri|0891 558038|Principal|kv2svn@rediffmail.com|Asia/Kolkata|IN
null|Kennedy High School|M.G. Road, Kanuru|N/A|AP|520007|null|Naga Mani|0891 0866|Principal|info@kennedyschools.com|Asia/Kolkata|IN
null|Kennedy High The Global School|Bachupally (V) Qutubullapur (M) Ranga Reddy Distt Hyderabad, Ap|N/A|AP|500072|null|Mrs. Dr.Koteswaramma Raya|040 65288187|Principal|rama195522@yahoo.co.in|Asia/Kolkata|IN
null|Little Angels Public School|Saradha Nagar Chillakur Gudur-Mandalam Nellore Distt Andhra Pradesh|N/A|AP|524412|null|Mr. N Sivanand|08624 251334|Principal|skthreddy@gmail.com|Asia/Kolkata|IN
null|Little Angles School|Sector 3 Visakhapatnam Andhra Pradesh|N/A|AP|844101|null|M Venumohan|0891 2553231|Principal|bvm_elmk@yahoo.com|Asia/Kolkata|IN
null|Little Flower Cbse Innovative School|Little Flower Cbse Innovative School, Sanjeevaiah Nagar, Nalgonda|N/A|AP|508001|null|Misssr. Shantha Mary Udumala|08682232317|Principal|srshanthaudumala@yahoo.co.in|Asia/Kolkata|IN
null|Little Flower School|Uppal, Hyderabad.|N/A|AP|500039|null|Bro. Ravi Kumar Reddy|01285 040-27202525 27200444|Principal|info@lfjrc.com|Asia/Kolkata|IN
null|Little Scholar School|Door No. 7-2-A5, Sy. No.54, Ward No.7, Block No.2, Sanath Nagar, Hyderabad|N/A|AP|500018|null|Mrs.S.G.Sunitha|040 27760696|Principal|lssmyhome@gmail.com|Asia/Kolkata|IN
null|Little Woods School|3-159/1,Apsp Camp Panasapadu|N/A|AP|533005|null|G.Anupama|02525 0884-2343777|Principal|nrganni@yahoo.com|Asia/Kolkata|IN
null|Lotus National School|Lotus National School, Madinaguda,Miyapur,Serilingampally Mandal, Rangareddy Dist,Hyderabad.|N/A|AP|500050|null|G.Anuradha|04023047953|Principal|lns@lotusnationalschool.com|Asia/Kolkata|IN
null|Lotus National School|Gautham Nagar Near Doctors Colony Opp|N/A|AP|N/A|null|Mahalakshmi Ml|08548 08706589469|Principal|admin@lotusschool.in|Asia/Kolkata|IN
null|Lotus National School|Hyderguda Rajendra Nagar Mandal Rangareddy Dist.|N/A|AP|500050|null|Lakshmi Preeti|01392 04023350629|Principal|admin@lotusschool.in|Asia/Kolkata|IN
null|Lotus National School|Suresh Nagar Kakinara|N/A|AP|791111|null|-|0493 6240214|Principal|ggschool@sancharnet.in|Asia/Kolkata|IN
null|Lotus National School|Shilpa Nagar Layout, Nagaram Village, Keesara Mandal, Hyderabad - 500062|N/A|AP|500006|null|Mrs.Shamshad Begum|040-65292489 040-65292589|Principal|lotusnagaramhoc@lotusschool.in|Asia/Kolkata|IN
null|M.P. & E.V. (English Medium) School|Sheela Nagar|N/A|AP|530012|null|Mr.Murali Mohan Gorle|08924 0891-2516603|Principal|murali6768@yahoo.co.in|Asia/Kolkata|IN
null|Maharishi Vidya Mandir|Girish Park Kondapur Hyderabad|N/A|AP|500032|null|Mrs Vasanthy Parasuraman|040 3111247|Principal|mvmhyd@sify.com|Asia/Kolkata|IN
null|Manuu Model School|Fatima Nagar, Falaknuma, Hyderabad|N/A|AP|500053|null|Dr. Kafil Ahmad|040 24473770|Principal|gsssubashgram2@yahoo.co.in|Asia/Kolkata|IN
null|Meridian School|Sy. No.11/4 & 11/5 Opp. Hitech City, Kukatpally Bypass Road, Khanamet Village, Serlingampally Mandal, Ranga Reddy District, Hyderabad.|N/A|AP|500033|null|Lalitha Naidu|040-65262631|Principal|madhapurmeridian@gmail.com|Asia/Kolkata|IN
null|Meridian School For Boys & Girls|8-2-541 Road No-7 Banjara Hills Hyderabad Andhra Pradesh|N/A|AP|500034|null|T Bilgram|040 396087|Principal|meridian_society@rediffmail.com|Asia/Kolkata|IN
null|Mnr School Of Excellence|Mnr Nagar, Narsapur Road, Fasalwadi Village, Sangareddy Mandal|N/A|AP|502294|null|M.S.V.S.Durga Prasad|08455-277022|Principal|info@mnrindia.org|Asia/Kolkata|IN
null|Mount Carmel Global School|Survey No - 138, Badangpet, Kanchanbagh, Saroornagar Mandal, Rr District|N/A|AP|500058|null|Neethi Srikumar|08562 04032523253|Principal|info@mountcarmelhyd.com|Asia/Kolkata|IN
null|Mount Litera Zee School|Survey No. 58 & 59; Yellareddyguda, Keesara Mandal, Kapra Circle, Sainikpuri, Hyderabad, District|N/A|AP|N/A|null|Mrs.Ar Hephzibah|040-2713360|Principal|zeeschoolsainikpuri@gmail.com|Asia/Kolkata|IN
null|N.St.Mathew'S Public School|Patamata Vijayawada Andhra Pradesh|N/A|AP|520010|null|Bro Montfort N K|0866 476519|Principal|vjwnsmbro@sancharnet.in|Asia/Kolkata|IN
null|Nandi Academy|Nandi Academy, Kanthi Nagar, Nandyal - 518502, Kurnool.|N/A|AP|518502|null|Meena Kanth|08514222002|Principal|charan_phani@yahoo.com|Asia/Kolkata|IN
null|Navabharat Public School|Nava Nagar Siil Post Paloncha Kammam District Andhra Pradesh - 507 154|N/A|AP|507154|null|Mr. M.V.S.Reddy|08744 256118|Principal|nbpschool@gmail.com|Asia/Kolkata|IN
null|Navy Children School|Nausenabaugh Visakhapatnam Andhra Pradesh|N/A|AP|530005|null|Mr. Nikita Tomar Mann|0891 2740283|Principal|ncs_visakha@rediffmail.com|Asia/Kolkata|IN
null|Navyabharathi Global School|H.No|N/A|AP|N/A|null|P. Satyam|08462-646345|Principal|navyabharathi@gmail.com|Asia/Kolkata|IN
null|Neelkanth Vidyapeeth Residential School|Majeedpur,P.O. Batasingaram|N/A|AP|500525|null|Mr.K. Gopal Rao|08415-201553|Principal|snvp2@live.com|Asia/Kolkata|IN
null|Niraj International School|132,133, Kandlakoya, Medchal, R.R.Dist Hyderabad Medchal 501403|N/A|AP|501403|null|Mrs.Tripti Sen|9184182000476|Principal|info.nirajinternationalschool@gmail.com|Asia/Kolkata|IN
null|Oakridge International School|Survey No166/6.Bowrampet,Near Bachupally,Qutubullapur Mandal,Rangareddy District. Pin 500 043|N/A|AP|500043|null|C.Adhilakshmi|04023331666 23337799|Principal|ss_mandava@yahoo.co.in|Asia/Kolkata|IN
null|Oakridge International School|Near Nh-5, Tagarapuvalasa, Singanabanda Village, Bhimunipatnam Mandal, Visakhapatnam Distt., Andhra Pradesh-531163|N/A|AP|530017|null|H. Ravichandran|08912511111|Principal|westwoodinfo@oakridge.in|Asia/Kolkata|IN
null|Oakridge International School|S No 6 & 13 Khajaguda Nanakramguda Road Golconda Post Serilingampally Mandal Cyberabad, Hyderabad,Ap|N/A|AP|500008|null|Kamaljit Kaur|011 01652276224|Principal|loren_455@yahoo.com|Asia/Kolkata|IN
null|Oakwood International School|1-4-477, Satyanagar Kamman, Newmarurhinagar,Kothapet, Dilsuknagar, Hyderabad-35. A.P|N/A|AP|500035|null|Dr.. K. Rami Reddy|040-32583328|Principal|ram_presidency@yahoo.com|Asia/Kolkata|IN
null|Oakwood The Rajahmundry School|Oakwood The Rajahmundry School Beejapuri Town Ship, Diwancheruvu, Rajahmundry (Rural) East Godavari District Andhra Pradesh|N/A|AP|533103|null|Ch.Bramaramba Sree Vani|08833245577 9347428883|Principal|oaksrjy@yahoo.com|Asia/Kolkata|IN
null|Orchids The International School|729 Road No 36 Jubliee Hills Hyderabad Ap|N/A|AP|500034|null|Mr. B G Ray|040 23556601|Principal|orchids_intl@yahoo.co.in|Asia/Kolkata|IN
null|Oxford Grammar School|3-6-743/2 St.No.12, Himayatnagar|N/A|AP|500029|null|Mr.G Ramanjula|040-27635669|Principal|ogscbse@gmail.com|Asia/Kolkata|IN
null|P Obul Reddy Public School|Andhra Mahila Sabha Road No.25 Jubilee Hills Hyderabad Andhra Pradesh|N/A|AP|500033|null|Mrs Vijaya Lakshmi Ramesh|040 3548912|Principal|porps@sify.com|Asia/Kolkata|IN
null|Padmavathi Vidyalaya|Sullurpeta Sullurpeta Nellore Dist. Andhra Pradesh|N/A|AP|524121|null|Mrs. Aruna Cheturvedi|08623 242650|Principal|padmavathividyalaya@yahoo.com|Asia/Kolkata|IN
